Ubicación Tecnica	Descripción
PRFA		PLANTA DE AIRE
PRFACO		COMPRESORES
PRFACO01	COMPRESOR JOY 1
PRFACO02	SISTEMA DE LUBRICACIÓN COMPRESOR JOY 1
PRFACO03	TURBINA JOY 1
PRFACO04	BBA AUXILIAR ACEITE JOY 1
PRFACO05	SECADOR AIRE JOY 1
PRFACO07	COMPRESOR DE PISTON
PRFACO10	SISTEMA DE LUBRICACIÓN COMPRESOR JOY 2
PRFACO11	COMPRESOR JOY 2
PRFACO12	BBA AUXILIAR ACEITE JOY 2
PRFACO13	SECADOR AIRE JOY 2
PRFACO14	SISTEMA DE LUBRICACIÓN COMPRESOR JOY 3
PRFACO15	COMPRESOR JOY 3
PRFACO16	BBA AUXILIAR ACEITE JOY 3
PRFACO17	SECADOR AIRE JOY 3
PRFACO19	CONTROL JOY 2
PRFACO21	CONTROL JOY 3
PRFACO23	VENTILADOR MOTOR JOY 2
PRFACO25	VENTILADOR MOTOR JOY 3
PRFACO27	TRANSFERENCIA CONTROL JOY 1
PRFACO29	BBA1 LUB G0B J1
PRFACO30	BBA2 LUB G0B J1
PRFACO31	CONTROL JOY 1
PRFACO33	BBA PRINCIPAL ACEITE CJ1
PRFACO35	CABEZAL AIRE COMPRIMIDO
PRFACO37	EXTRACTOR DE GASES TK ACEITE JOY 1
PRFACO39	COMPRESOR 5 500CFM
PRFACO41	COMPRESOR AIRE 6
PRFACO43	SECADOR COMPRESOR AIRE 6
PRFACO45	COMPRESOR AIRE 7
PRFACO47	SECADOR COMPRESOR AIRE 7
PRFAED		EDIFICIOS
PRFAED01	EDIFICIO PLANTA DE AIRE
PRFATU		TUBERIAS
PRFATU01	TUBERIAS PLANTA DE AIRE
PRFC		PLANTA DE COGENERACION
PRFCAL		ALIMENTACION PLANTA DE COGENERACION
PRFCAL01	BOMBA  No.1 AL DESAIREADOR C3
PRFCAL02	BOMBA  No.2 AL DESAIREADOR C3
PRFCAL03	BBA 1 AGUA ALIMENTACION CALDERA 3
PRFCAL04	BBA 2 AGUA ALIMENTACION CALDERA 3
PRFCAL05	DESAIREADOR CALDERA 3
PRFCAL06	Compresor de Gas  
PRFCAL07	TK ALMACENAMIENTO AGUA DEMIN C3
PRFCAL09	BOMBA  No.3 AL DESAIREADOR C3
PRFCAL11	BBA 3 AGUA ALIMENTACION CALDERA 3
PRFCAQ		ADICION DE QUIMICOS(PLANTA COGENERACION)
PRFCAQ01	BBA 1 SULFITO C3
PRFCAQ02	BBA 2 SULFITO C3
PRFCAQ03	BBA 1 FOSFATO C3
PRFCAQ04	BBA 2 FOSFATO C3
PRFCAQ05	TK ALMACENAMIENTO SULFITO
PRFCC3		CALDERA No 3 (PLANTA DE COGENERACION)
PRFCC301	CALDERA 3
PRFCC302	QUEMADORES CALDERA 3
PRFCC303	COMPRESOR DE AIRE QUEMADORES
PRFCC8		Caldera Nro. 3  
PRFCCA		COMPRESOR DE GAS
PRFCCA01	COMPRESOR DE GAS
PRFCCA03	VENTILADOR ENFRIADOR GAS
PRFCCA05	BOMBA PRELUBRICACIÓN COMPRESOR
PRFCCA07	FILTRO GAS COALESCENTE 1
PRFCCA09	FILTRO GAS COALESCENTE 2
PRFCCA11	FILTRO GAS COALESCENTE 3
PRFCCG		Compresor de Aire  
PRFCCS		SISTEMA DE CONTROL
PRFCCS01	SISTEMA DE CONTROL TT4 TURBOGAS
PRFCDU		DUCHAS EMERGENCIA
PRFCDU01	DUCHA EMERG TURBOGAS
PRFCGE		GENERADOR DE ENERGIA ELECTRICA PTA.COGE.
PRFCGE01	GENERADOR
PRFCTE		TECHO CALDERA 3
PRFCTE01	ESTRUCT METAL TECHO CALDERA 3
PRFCTE02	CUBIERTA TECHO CALDERA 3
PRFCTG		TURBINA DE GAS
PRFCTG01	SISTEMA DE LUBRICACIÓN TURBINA DE GAS
PRFCTG02	ENFRIADOR DE ACEITE
PRFCTG03	TURBINA DE GAS
PRFCTG04	SISTEMA DE ACEITE PRE-POST
PRFCTG05	SISTEMA DE LUBRICACION BACKUP
PRFCTG07	EXTRACTOR CUARTO BATERIAS TG1
PRFCTG09	SISTEMA CONTRA INCENDIO TG1
PRFCTG10	SISTEMA DE ARRANQUE TURBINA
PRFCTG11	FILTRADOR DE ACEITE TURBINA
PRFCTG12	CALEFACCION TK LUBRICACION TURBINA
PRFCTG13	EXTRACTOR CERRAMIENTO TURBINA
PRFCTG14	VENTILADOR CERRAMIENTO GENERADOR
PRFCTG15	TRANSFORMADOR DE AUXILIARES TGAS
PRFCTG16	VENTILADOR AUXILIAR ENFRIADOR ACEITE
PRFD		SISTEMAS DESMINERALIZADORES
PRFD1F		TRAMPA ORGANICOS 1
PRFD1F01	TRAMPA DE ORGANICOS 1
PRFD2F		TRAMPA ORGANICOS 2
PRFD2F01	TRAMPA DE ORGANICOS 2
PRFD3F		TRAMPA ORGANICOS 3
PRFD3F01	TRAMPA DE ORGANICOS 3
PRFD4F		TRAMPA ORGANICOS 4
PRFD4F01	TRAMPA DE ORGANICOS 4
PRFD6T		CONDENSADO
PRFD6T40	TK CONDENSADO
PRFDAA		AIRE ACONDICIONADO     
PRFDAA01	PURAFIL I/A     
PRFDAA03	A.A. CONTROL I/A   
PRFDAA09	AAC OFICINA PWP  
PRFDAA13	AAV COMEDOR PWP   
PRFDAA15	AAV CAPACITACION PWP  
PRFDAS		MANEJO DE ACIDO SULFURICO
PRFDAS01	BBA 1 ACIDO DESM
PRFDAS02	BBA 2 ACIDO DESM
PRFDAS03	BBA 1 DOSIFICACION ACIDO SULFURICO
PRFDAS04	BBA 2 DOSIFICACION ACIDO SULFURICO
PRFDDE		DISTRIBUCION DE AGUA DESMINERALIZADA
PRFDDE01	BBA 1 AGUA TRATADA TK 100KGLS
PRFDDE02	BBA 2 AGUA TRATADA TK 100MGLS
PRFDDE03	BBA 3 AGUA TRATADA TK 100MGLS
PRFDDE05	BBA 1 65000 DES
PRFDDE06	BBA 2 65000 DES
PRFDDE07	TURBOBOMBA 1 65000 DESMINERALIZADA
PRFDDE09	TK DIARIO SALMUERA ALCALINA
PRFDDE10	BBA SALMUERA ALCALINA
PRFDDE11	TK CONCENTRADO SALMUERA ALCALINA
PRFDDE13	TRANSF.EMERGENCIA DESM
PRFDDE14	DESAIREADOR CALDERA 5
PRFDDU		DUCHAS EMERGENCIA
PRFDDU00	DUCHA EMERG DESCARGUE QUIMICOS
PRFDDU01	DUCHA EMERG TK SODA CAUSTICA
PRFDDU02	DUCHA EMERG TK SAL INDUSTRIAL
PRFDDU03	DUCHA EMERG TRAMPA ORGANICOS 2
PRFDDU04	DUCHA EMERG ZONA QUIMICOS
PRFDDU05	DUCHA EMERG TK 100.000 GALONES
PRFDDU07	DUCHA EMERG PLATAFORMA VOLCADORA
PRFDET		CONDENSADO
PRFDOL		TANQUES ALMACENAMIENTO
PRFDOL16	TK ALMACENAMIENTO SODA
PRFDOL17	TK DIARIO H2SO4 
